# Transcrição mecânica das tabelas PHB 2014 p.149–150. Nome|interface|custo|lb|dano|tipo|propriedades
# Armas simples corpo a corpo
Spyglass|Luneta|1000 gp|1|||
Tent, two-person|Tenda para Duas Pessoas|2 gp|20|||
Tinderbox|Caixa de Fogo|5 sp|1|||
Torch|Tocha|1 cp|1|||
Vial|Frasco Pequeno|1 gp||||
Waterskin|Odre (cheio)|2 sp|5|||
Whetstone|Pedra de Amolar|1 cp|1|||
# Ferramentas (154)
Alchemist's supplies|Suprimentos de Alquimista|50 gp|8|||
Brewer's supplies|Suprimentos de Cervejeiro|20 gp|9|||
Calligrapher's supplies|Suprimentos de Calígrafo|10 gp|5|||
Carpenter's tools|Ferramentas de Carpinteiro|8 gp|6|||
Cartographer's tools|Ferramentas de Cartógrafo|15 gp|6|||
Cobbler's tools|Ferramentas de Sapateiro|5 gp|5|||
Cook's utensils|Utensílios de Cozinheiro|1 gp|8|||
Glassblower's tools|Ferramentas de Vidreiro|30 gp|5|||
Jeweler's tools|Ferramentas de Joalheiro|25 gp|2|||
Leatherworker's tools|Ferramentas de Coureiro|5 gp|5|||
Mason's tools|Ferramentas de Pedreiro|10 gp|8|||
Painter's supplies|Suprimentos de Pintor|10 gp|5|||
Potter's tools|Ferramentas de Oleiro|10 gp|3|||
Smith's tools|Ferramentas de Ferreiro|20 gp|8|||
Tinker's tools|Ferramentas de Funileiro|50 gp|10|||
Weaver's tools|Ferramentas de Tecelão|1 gp|5|||
Woodcarver's tools|Ferramentas de Entalhador|1 gp|5|||
Disguise kit|Kit de Disfarce|25 gp|3|||
Forgery kit|Kit de Falsificação|15 gp|5|||
Herbalism kit|Kit de Herbalismo|5 gp|3|||
Navigator's tools|Ferramentas de Navegador|25 gp|2|||
Poisoner's kit|Kit de Envenenador|50 gp|2|||
Thieves' tools|Ferramentas de Ladrão|25 gp|1|||
# Jogos (154)
Dice set|Conjunto de Dados|1 sp||||
Dragonchess set|Xadrez de Dragão|1 gp|0.5|||
Playing card set|Baralho|5 sp||||
Three-Dragon Ante set|Jogo de Três Dragões|1 gp||||
# Instrumentos (154)
Bagpipes|Gaita de Foles|30 gp|6|||
Drum|Tambor|6 gp|3|||
Dulcimer|Dulcimer|25 gp|10|||
Flute|Flauta|2 gp|1|||
Lute|Alaúde|35 gp|2|||
Lyre|Lira|30 gp|2|||
Horn|Trompa|3 gp|2|||
Pan flute|Flauta de Pã|12 gp|2|||
Shawm|Charamela|2 gp|1|||
Viol|Viola|30 gp|1|||
# Pacotes (151)
Burglar's Pack|Pacote de Assaltante|16 gp||||
Diplomat's Pack|Pacote de Diplomata|39 gp||||
Dungeoneer's Pack|Pacote de Explorador de Masmorras|12 gp||||
Entertainer's Pack|Pacote de Artista|40 gp||||
Explorer's Pack|Pacote de Explorador|10 gp||||
Priest's Pack|Pacote de Sacerdote|19 gp||||
Scholar's Pack|Pacote de Estudioso|40 gp||||
# Arreios e veículos (157)
Bit and bridle|Freio e Rédea|2 gp|1|||
Carriage|Carruagem|100 gp|600|||
Cart|Carroça|15 gp|200|||
Chariot|Biga|250 gp|100|||
Feed (per day)|Ração Animal (dia)|5 cp|10|||
Saddle, exotic|Sela Exótica|60 gp|40|||
Saddle, military|Sela Militar|20 gp|30|||
Saddle, pack|Sela de Carga|5 gp|15|||
Saddle, riding|Sela de Montaria|10 gp|25|||
Saddlebags|Alforjes|4 gp|8|||
Sled|Trenó|20 gp|300|||
Wagon|Carroção|35 gp|400|||
